label,source_path,text_length,reason
invoice,data\invoice\0000002350.tif,0,min_chars<5
invoice,data\invoice\0000002410.tif,0,min_chars<5
invoice,data\invoice\0000019626.tif,0,min_chars<5
invoice,data\invoice\0000020180.tif,0,min_chars<5
invoice,data\invoice\0000027283.tif,0,min_chars<5
invoice,data\invoice\0000027981.tif,0,min_chars<5
invoice,data\invoice\0000036367.tif,0,min_chars<5
invoice,data\invoice\0000036371.tif,0,min_chars<5
invoice,data\invoice\0000036968.tif,0,min_chars<5
invoice,data\invoice\0000037009.tif,0,min_chars<5
invoice,data\invoice\0000044003.tif,0,min_chars<5
invoice,data\invoice\0000049623.tif,0,min_chars<5
invoice,data\invoice\0000056826.tif,0,min_chars<5
invoice,data\invoice\0000074370.tif,0,min_chars<5
invoice,data\invoice\0000080966.tif,0,min_chars<5
invoice,data\invoice\0000080967.tif,0,min_chars<5
invoice,data\invoice\0000083797.tif,0,min_chars<5
invoice,data\invoice\0000084805.tif,0,min_chars<5
invoice,data\invoice\0000085071.tif,0,min_chars<5
invoice,data\invoice\0000085370.tif,0,min_chars<5
invoice,data\invoice\0000085583.tif,0,min_chars<5
invoice,data\invoice\0000092878.tif,0,min_chars<5
invoice,data\invoice\0000093268.tif,0,min_chars<5
invoice,data\invoice\0000093513.tif,0,min_chars<5
invoice,data\invoice\0000095536.tif,0,min_chars<5
invoice,data\invoice\0000103709.tif,0,min_chars<5
invoice,data\invoice\0000107190.tif,0,min_chars<5
invoice,data\invoice\0000113692.tif,0,min_chars<5
invoice,data\invoice\0000113702.tif,0,min_chars<5
invoice,data\invoice\0000113713.tif,0,min_chars<5
invoice,data\invoice\0000113714.tif,0,min_chars<5
invoice,data\invoice\0000113716.tif,0,min_chars<5
invoice,data\invoice\0000113717.tif,0,min_chars<5
invoice,data\invoice\0000113718.tif,0,min_chars<5
invoice,data\invoice\0000113720.tif,0,min_chars<5
invoice,data\invoice\0000113721.tif,0,min_chars<5
invoice,data\invoice\0000113723.tif,0,min_chars<5
invoice,data\invoice\0000113726.tif,0,min_chars<5
invoice,data\invoice\0000113728.tif,0,min_chars<5
invoice,data\invoice\0000113730.tif,0,min_chars<5
invoice,data\invoice\0000113731.tif,0,min_chars<5
invoice,data\invoice\0000113743.tif,0,min_chars<5
invoice,data\invoice\0000113746.tif,0,min_chars<5
invoice,data\invoice\0000113755.tif,0,min_chars<5
invoice,data\invoice\0000113763.tif,0,min_chars<5
invoice,data\invoice\0000113767.tif,0,min_chars<5
invoice,data\invoice\0000113773.tif,0,min_chars<5
invoice,data\invoice\0000113774.tif,0,min_chars<5
invoice,data\invoice\0000113780.tif,0,min_chars<5
invoice,data\invoice\0000113783.tif,0,min_chars<5
invoice,data\invoice\0000113787.tif,0,min_chars<5
invoice,data\invoice\0000113791.tif,0,min_chars<5
invoice,data\invoice\0000113795.tif,0,min_chars<5
invoice,data\invoice\0000113797.tif,0,min_chars<5
invoice,data\invoice\0000113800.tif,0,min_chars<5
invoice,data\invoice\0000113802.tif,0,min_chars<5
invoice,data\invoice\0000113805.tif,0,min_chars<5
invoice,data\invoice\0000113806.tif,0,min_chars<5
invoice,data\invoice\0000113807.tif,0,min_chars<5
invoice,data\invoice\0000113810.tif,0,min_chars<5
invoice,data\invoice\0000122914.tif,0,min_chars<5
invoice,data\invoice\0000136156.tif,0,min_chars<5
invoice,data\invoice\0000136159.tif,0,min_chars<5
invoice,data\invoice\0000137449.tif,0,min_chars<5
invoice,data\invoice\0000137453.tif,0,min_chars<5
invoice,data\invoice\0000137461.tif,0,min_chars<5
invoice,data\invoice\0000137463.tif,0,min_chars<5
invoice,data\invoice\0000137465.tif,0,min_chars<5
invoice,data\invoice\0000137475.tif,0,min_chars<5
invoice,data\invoice\0000137477.tif,0,min_chars<5
invoice,data\invoice\0000137483.tif,0,min_chars<5
invoice,data\invoice\0000137496.tif,0,min_chars<5
invoice,data\invoice\0000137498.tif,0,min_chars<5
invoice,data\invoice\0000137514.tif,0,min_chars<5
invoice,data\invoice\0000137521.tif,0,min_chars<5
invoice,data\invoice\0000137525.tif,0,min_chars<5
invoice,data\invoice\0000137527.tif,0,min_chars<5
invoice,data\invoice\0000137539.tif,0,min_chars<5
invoice,data\invoice\0000137540.tif,0,min_chars<5
invoice,data\invoice\0000137542.tif,0,min_chars<5
invoice,data\invoice\0000137544.tif,0,min_chars<5
invoice,data\invoice\0000137546.tif,0,min_chars<5
invoice,data\invoice\0000137553.tif,0,min_chars<5
invoice,data\invoice\0000137564.tif,0,min_chars<5
invoice,data\invoice\0000137566.tif,0,min_chars<5
invoice,data\invoice\0000137568.tif,0,min_chars<5
invoice,data\invoice\0000137570.tif,0,min_chars<5
invoice,data\invoice\0000137582.tif,0,min_chars<5
invoice,data\invoice\0000137583.tif,0,min_chars<5
invoice,data\invoice\0000137589.tif,0,min_chars<5
invoice,data\invoice\0000138971.tif,0,min_chars<5
invoice,data\invoice\0000145716.tif,0,min_chars<5
invoice,data\invoice\0000145717.tif,0,min_chars<5
invoice,data\invoice\0000145719.tif,0,min_chars<5
invoice,data\invoice\0000145723.tif,0,min_chars<5
invoice,data\invoice\0000145736.tif,0,min_chars<5
invoice,data\invoice\0000145739.tif,0,min_chars<5
invoice,data\invoice\0000145740.tif,0,min_chars<5
invoice,data\invoice\0000145742.tif,0,min_chars<5
invoice,data\invoice\0000145743.tif,0,min_chars<5
invoice,data\invoice\0000145745.tif,0,min_chars<5
invoice,data\invoice\0000145747.tif,0,min_chars<5
invoice,data\invoice\0000145756.tif,0,min_chars<5
invoice,data\invoice\0000145759.tif,0,min_chars<5
invoice,data\invoice\0000145764.tif,0,min_chars<5
invoice,data\invoice\0000145768.tif,0,min_chars<5
invoice,data\invoice\0000145775.tif,0,min_chars<5
invoice,data\invoice\0000145779.tif,0,min_chars<5
invoice,data\invoice\0000145794.tif,0,min_chars<5
invoice,data\invoice\0000145798.tif,0,min_chars<5
invoice,data\invoice\0000145819.tif,0,min_chars<5
invoice,data\invoice\0000145830.tif,0,min_chars<5
invoice,data\invoice\0000145833.tif,0,min_chars<5
invoice,data\invoice\0000145834.tif,0,min_chars<5
invoice,data\invoice\0000145836.tif,0,min_chars<5
invoice,data\invoice\0000145847.tif,0,min_chars<5
invoice,data\invoice\0000145849.tif,0,min_chars<5
invoice,data\invoice\0000145865.tif,0,min_chars<5
invoice,data\invoice\0000145871.tif,0,min_chars<5
invoice,data\invoice\0000145878.tif,0,min_chars<5
invoice,data\invoice\0000145880.tif,0,min_chars<5
invoice,data\invoice\0000145883.tif,0,min_chars<5
invoice,data\invoice\0000145917.tif,0,min_chars<5
invoice,data\invoice\0000145923.tif,0,min_chars<5
invoice,data\invoice\0000145932.tif,0,min_chars<5
invoice,data\invoice\0000145940.tif,0,min_chars<5
invoice,data\invoice\0000145946.tif,0,min_chars<5
invoice,data\invoice\0000145953.tif,0,min_chars<5
invoice,data\invoice\0000145958.tif,0,min_chars<5
invoice,data\invoice\0000147765.tif,0,min_chars<5
invoice,data\invoice\0000150608.tif,0,min_chars<5
invoice,data\invoice\0000154084.tif,0,min_chars<5
invoice,data\invoice\0000154313.tif,0,min_chars<5
invoice,data\invoice\0000154321.tif,0,min_chars<5
invoice,data\invoice\0000155555.tif,0,min_chars<5
invoice,data\invoice\0000164597.tif,0,min_chars<5
invoice,data\invoice\0000167533.tif,0,min_chars<5
invoice,data\invoice\0000167992.tif,0,min_chars<5
invoice,data\invoice\0000169149.tif,0,min_chars<5
invoice,data\invoice\0000171219.tif,0,min_chars<5
invoice,data\invoice\0000172006.tif,0,min_chars<5
invoice,data\invoice\0000172157.tif,0,min_chars<5
invoice,data\invoice\0000172168.tif,0,min_chars<5
invoice,data\invoice\0000173065.tif,0,min_chars<5
invoice,data\invoice\0000173214.tif,0,min_chars<5
invoice,data\invoice\0000173502.tif,0,min_chars<5
invoice,data\invoice\0000173503.tif,0,min_chars<5
invoice,data\invoice\0000174462.tif,0,min_chars<5
invoice,data\invoice\0000182209.tif,0,min_chars<5
invoice,data\invoice\0000186694.tif,0,min_chars<5
invoice,data\invoice\0000186804.tif,0,min_chars<5
invoice,data\invoice\0000190856.tif,0,min_chars<5
invoice,data\invoice\0000190857.tif,0,min_chars<5
invoice,data\invoice\0000190863.tif,0,min_chars<5
invoice,data\invoice\0000192504.tif,0,min_chars<5
invoice,data\invoice\0000193200.tif,0,min_chars<5
invoice,data\invoice\0000193226.tif,0,min_chars<5
invoice,data\invoice\0000217235.tif,0,min_chars<5
invoice,data\invoice\0000218175.tif,0,min_chars<5
invoice,data\invoice\0000218234.tif,0,min_chars<5
invoice,data\invoice\0000218320.tif,0,min_chars<5
invoice,data\invoice\0000218370.tif,0,min_chars<5
invoice,data\invoice\0000220443.tif,0,min_chars<5
invoice,data\invoice\0000221593.tif,0,min_chars<5
invoice,data\invoice\0000221594.tif,0,min_chars<5
invoice,data\invoice\0000221599.tif,0,min_chars<5
invoice,data\invoice\0000221603.tif,0,min_chars<5
invoice,data\invoice\0000221638.tif,0,min_chars<5
invoice,data\invoice\0000222512.tif,0,min_chars<5
invoice,data\invoice\0000223278.tif,0,min_chars<5
invoice,data\invoice\0000223297.tif,0,min_chars<5
invoice,data\invoice\0000223360.tif,0,min_chars<5
invoice,data\invoice\0000223366.tif,0,min_chars<5
invoice,data\invoice\0000223371.tif,0,min_chars<5
invoice,data\invoice\0000223372.tif,0,min_chars<5
invoice,data\invoice\0000223373.tif,0,min_chars<5
invoice,data\invoice\0000223376.tif,0,min_chars<5
invoice,data\invoice\0000223377.tif,0,min_chars<5
invoice,data\invoice\0000223378.tif,0,min_chars<5
invoice,data\invoice\0000223384.tif,0,min_chars<5
invoice,data\invoice\0000223385.tif,0,min_chars<5
invoice,data\invoice\0000223388.tif,0,min_chars<5
invoice,data\invoice\0000223393.tif,0,min_chars<5
invoice,data\invoice\0000223394.tif,0,min_chars<5
invoice,data\invoice\0000224343.tif,0,min_chars<5
invoice,data\invoice\0000225259.tif,0,min_chars<5
invoice,data\invoice\0000225309.tif,0,min_chars<5
invoice,data\invoice\0000225311.tif,0,min_chars<5
invoice,data\invoice\0000225312.tif,0,min_chars<5
invoice,data\invoice\0000225504.tif,0,min_chars<5
invoice,data\invoice\0000226097.tif,0,min_chars<5
invoice,data\invoice\0000226098.tif,0,min_chars<5
invoice,data\invoice\0000226286.tif,0,min_chars<5
invoice,data\invoice\0000226464.tif,0,min_chars<5
invoice,data\invoice\0000226466.tif,0,min_chars<5
invoice,data\invoice\0000226470.tif,0,min_chars<5
invoice,data\invoice\0000226477.tif,0,min_chars<5
invoice,data\invoice\0000226480.tif,0,min_chars<5
invoice,data\invoice\0000226483.tif,0,min_chars<5
invoice,data\invoice\0000226486.tif,0,min_chars<5
invoice,data\invoice\0000226488.tif,0,min_chars<5
invoice,data\invoice\0000226492.tif,0,min_chars<5
invoice,data\invoice\0000226819.tif,0,min_chars<5
invoice,data\invoice\0000226876.tif,0,min_chars<5
invoice,data\invoice\0000227031.tif,0,min_chars<5
invoice,data\invoice\0000227338.tif,0,min_chars<5
invoice,data\invoice\0000227391.tif,0,min_chars<5
invoice,data\invoice\0000229565.tif,0,min_chars<5
invoice,data\invoice\0000229600.tif,0,min_chars<5
invoice,data\invoice\0000229788.tif,0,min_chars<5
invoice,data\invoice\0000229815.tif,0,min_chars<5
invoice,data\invoice\0000229816.tif,0,min_chars<5
invoice,data\invoice\0000229843.tif,0,min_chars<5
invoice,data\invoice\0000229903.tif,0,min_chars<5
invoice,data\invoice\0000229949.tif,0,min_chars<5
invoice,data\invoice\0000229950.tif,0,min_chars<5
invoice,data\invoice\0000232017.tif,0,min_chars<5
invoice,data\invoice\0000246604.tif,0,min_chars<5
invoice,data\invoice\0000246605.tif,0,min_chars<5
invoice,data\invoice\0000255678.tif,0,min_chars<5
invoice,data\invoice\0000256042.tif,0,min_chars<5
invoice,data\invoice\0000258901.tif,0,min_chars<5
invoice,data\invoice\0000261555.tif,0,min_chars<5
invoice,data\invoice\0000261639.tif,0,min_chars<5
invoice,data\invoice\0000264657.tif,0,min_chars<5
invoice,data\invoice\0000297810.tif,0,min_chars<5
invoice,data\invoice\0000297824.tif,0,min_chars<5
invoice,data\invoice\0000297826.tif,0,min_chars<5
invoice,data\invoice\0000297831.tif,0,min_chars<5
invoice,data\invoice\0000302882.tif,0,min_chars<5
invoice,data\invoice\0000305303.tif,0,min_chars<5
invoice,data\invoice\0000308007.tif,0,min_chars<5
invoice,data\invoice\0000308008.tif,0,min_chars<5
invoice,data\invoice\0000327322.tif,0,min_chars<5
invoice,data\invoice\0000328762.tif,0,min_chars<5
invoice,data\invoice\0000332836.tif,0,min_chars<5
invoice,data\invoice\0000333158.tif,0,min_chars<5
invoice,data\invoice\0000333159.tif,0,min_chars<5
invoice,data\invoice\0000333203.tif,0,min_chars<5
invoice,data\invoice\0000333205.tif,0,min_chars<5
invoice,data\invoice\0000333208.tif,0,min_chars<5
invoice,data\invoice\0000333213.tif,0,min_chars<5
invoice,data\invoice\0000337135.tif,0,min_chars<5
